File Size (MB),No of Tags,XML Depth,No of Attributes,No of Elements,CPU Cores,Memory Usage (MB),Efficient_Algo_Label
30.27,2886,11,23,4852,4,939,4
30.3,3549,5,43,1554,8,366,4
30.31,1692,16,6,3709,6,871,4
30.49,3683,16,54,4315,6,437,4
30.55,3189,19,21,4550,1,376,3
30.6,3722,3,59,2949,16,395,3
30.75,3890,15,16,8159,2,414,3
30.9,375,13,12,7913,12,1028,4
30.92,1810,22,25,762,1,739,3
30.93,3567,18,26,8040,8,126,4
30.99,2389,11,44,2940,10,833,4
31.0,4537,7,25,7723,2,355,3
31.13,1494,8,38,3859,12,353,4
31.2,3235,4,54,7024,4,705,4
31.2,3895,2,18,7556,10,170,4
31.25,1999,6,14,7215,6,796,4
31.32,5255,2,48,5617,12,415,4
31.32,3265,18,17,8758,14,257,3
31.52,1047,23,29,1153,14,50,3
31.6,3878,17,12,5213,4,296,4
31.64,1116,6,19,621,8,884,4
31.84,4846,14,9,1744,8,455,4
32.09,2355,24,59,8732,16,457,3
32.21,2409,8,56,3338,4,740,4
32.35,1652,11,35,4682,8,503,4
32.46,5377,16,60,4539,4,683,4
32.49,2767,12,36,3961,1,234,3
32.55,2971,7,18,7442,16,179,3
32.71,2150,16,38,8384,14,355,3
32.72,3809,10,4,7151,1,391,3
32.75,414,14,16,4808,6,195,4
32.97,3499,27,4,7368,1,458,3
33.11,1790,2,38,7372,4,822,4
33.15,3229,10,52,6081,16,457,3
33.24,281,2,36,6087,6,741,4
33.26,693,10,21,3883,12,395,4
33.52,3715,10,1,2198,10,784,4
33.65,3883,28,15,6076,2,404,3
33.65,1417,20,30,8193,12,648,4
33.75,2862,7,2,2829,12,287,4
33.75,3583,27,8,2440,16,298,3
33.85,4867,19,58,5840,12,575,4
34.14,1302,27,40,8311,1,407,3
34.28,5534,29,14,3216,14,501,3
34.29,1951,7,19,8288,6,499,4
34.33,3409,2,15,5702,12,628,4
34.38,4029,17,32,2065,10,573,4
34.58,4454,20,37,9068,16,195,3
34.61,2346,18,45,3588,2,81,3
34.62,3411,12,15,1741,12,291,4
34.65,2919,14,11,4567,6,758,4
34.68,2472,4,7,2177,12,685,4
34.81,2178,18,14,8161,1,570,3
34.91,3853,14,47,4223,12,374,4
35.05,4646,14,57,2024,10,298,4
35.09,1041,7,59,8395,8,836,4
35.1,262,12,16,5765,12,573,4
35.11,4273,18,15,1230,6,448,4
35.22,4208,2,32,4849,1,50,3
35.28,2091,18,18,4441,12,324,4
35.28,3926,18,26,5921,8,402,4
35.52,5067,20,6,6401,2,763,3
35.54,4012,2,19,5128,4,417,4
35.56,2179,26,35,3459,16,406,3
35.64,4314,16,38,6183,8,1058,4
35.72,4872,19,12,4708,10,390,4
35.77,2343,4,40,5152,8,529,4
35.82,5310,5,55,4630,1,653,3
35.84,5090,2,20,2367,2,893,3
35.99,2884,10,45,2556,8,373,4
36.03,3490,4,51,5338,8,409,4
36.03,5009,20,37,2273,12,548,4
36.06,2184,6,42,7130,6,829,4
36.17,1947,19,2,4676,1,822,3
36.18,3157,20,49,1459,14,622,3
36.4,3319,10,36,3216,12,409,4
36.6,2852,12,27,5059,14,341,3
36.67,2699,7,26,8351,12,351,4
36.75,1767,6,11,6951,1,427,3
36.83,5624,14,45,4778,4,409,4
36.98,4935,14,21,1919,2,476,3
37.0,2922,8,60,1059,6,275,4
37.06,818,14,38,8396,6,624,4
37.07,3554,4,47,8212,4,910,4
37.17,2891,6,54,8075,10,884,4
37.21,2917,15,20,4213,10,840,4
37.29,2038,14,59,3033,12,846,4
37.39,3921,6,52,919,6,500,4
37.4,743,12,30,3889,16,234,3
37.44,2008,18,52,4669,10,472,4
37.55,995,4,34,1192,1,543,3
37.56,3959,15,6,4508,12,862,4
37.58,583,22,48,7325,2,130,3
37.83,3656,6,51,4132,2,272,3
37.83,5289,5,44,5828,8,628,4
37.93,1045,22,34,8172,16,558,3
38.06,3778,21,11,6337,14,533,3
38.14,4092,4,56,7746,4,752,4
38.23,4459,26,21,4810,14,50,3
38.25,3994,15,18,829,10,616,4
38.49,5644,8,53,3664,16,605,3
38.62,5231,8,56,2278,14,459,3
38.64,3765,11,46,5302,4,61,4
38.81,2077,14,25,6802,12,663,4
38.86,2059,3,45,7936,8,843,4
39.18,5571,3,40,4244,8,515,4
39.2,4169,28,46,269,16,575,3
39.22,3835,25,2,2771,2,351,3
39.23,4584,17,5,6463,1,569,3
39.31,990,20,3,4894,2,453,3
39.5,1786,18,23,2014,14,546,3
39.5,5921,4,14,2503,12,499,4
39.53,4034,9,49,2633,10,986,4
39.6,1225,18,32,2232,14,881,3
39.61,1925,15,11,6603,6,433,4
39.63,4544,13,52,5769,6,486,4
39.68,3709,4,11,4123,12,957,4
39.78,4241,6,24,9086,2,206,3
39.79,3855,15,2,4518,14,401,3
40.02,5982,21,38,9079,2,110,3
40.03,3183,13,42,4822,1,310,3
40.03,2994,13,29,1202,2,512,3
40.05,4509,11,58,6036,12,523,4
40.09,3233,16,59,4149,4,1128,4
40.11,3247,9,60,501,6,435,4
40.34,2474,3,50,8401,12,893,4
40.42,6246,9,44,3421,14,542,3
40.47,2776,28,41,7978,16,338,3
40.5,2691,7,38,6662,2,675,3
40.64,5238,7,14,1792,2,442,3
40.79,2173,11,58,316,10,465,4
40.87,1672,3,41,3160,16,298,3
40.91,3178,16,23,6453,12,491,4
41.05,3949,13,51,1187,2,780,3
41.25,2714,7,59,6247,12,801,4
41.25,2808,4,46,4119,10,1025,4
41.34,5286,15,50,896,2,765,3
41.45,2953,27,56,4734,1,609,3
41.47,1912,26,51,1318,1,745,3
41.5,4839,16,40,6090,14,239,3
41.6,2216,4,28,1677,4,274,4
41.66,2869,4,16,257,6,1053,4
41.68,3741,5,12,2439,14,412,3
41.83,2607,2,59,1608,6,436,4
41.89,4171,3,49,3988,10,1046,4
41.93,2819,9,15,8139,4,179,4
41.94,6739,20,50,5791,10,670,4
41.97,5374,7,48,2360,8,145,4
41.99,5603,15,40,2486,12,602,4
42.04,1343,8,38,1108,16,825,3
42.11,2626,13,16,5188,1,251,3
42.14,1708,12,40,7539,4,531,4
42.18,3491,20,6,2290,2,265,3
42.32,2047,14,14,749,14,310,3
42.55,5869,16,52,1845,10,1269,4
42.69,4435,14,38,1376,2,671,3
42.75,3826,19,29,822,2,914,3
42.76,3652,17,31,5061,8,877,4
42.81,2835,3,1,3347,6,445,4
42.92,5686,17,9,2683,1,878,3
43.01,3029,7,22,4332,8,1095,4
43.02,4144,2,11,5502,4,610,4
43.09,1772,9,32,6808,8,839,4
43.17,3241,10,41,8322,12,725,4
43.19,2509,12,53,3304,4,737,4
43.19,4363,2,53,5779,4,331,4
43.3,5624,13,33,8968,14,415,3
43.33,3775,21,49,2306,2,462,3
43.34,2163,13,59,882,12,677,4
43.39,6697,2,22,8067,2,576,3
43.42,6381,11,5,2421,8,548,4
43.54,1705,16,50,2509,6,551,4
43.57,3856,10,49,4761,10,189,4
43.58,2690,30,2,722,1,116,3
43.7,2493,20,15,590,12,1176,4
43.71,6743,26,21,3844,14,1148,3
43.74,2299,28,47,3882,16,512,3
43.82,5349,11,2,8476,1,574,3
43.89,1882,7,20,271,10,943,4
43.93,1380,4,11,4022,1,342,3
43.93,3362,26,7,5467,1,313,3
43.98,6075,10,19,8462,6,1031,4
44.06,7436,26,6,7198,1,352,3
44.1,5380,19,47,590,6,532,4
44.11,4465,17,51,1244,14,631,3
44.13,5201,5,42,7953,8,742,4
44.14,2251,19,56,196,16,508,3
44.15,6911,4,39,5686,4,1132,4
44.24,1834,5,23,6174,12,651,4
44.34,665,23,16,5401,14,491,3
44.35,1953,18,29,4330,2,474,3
44.42,5518,5,17,2350,1,391,3
44.52,1063,28,31,3844,1,344,3
44.54,5686,20,44,6014,4,644,4
44.59,5996,9,11,8687,2,522,3
44.62,4545,19,26,3064,16,502,3
44.64,4497,4,44,6727,8,872,4
44.65,5381,24,27,9078,16,240,3
44.71,2788,19,33,3642,14,310,3
44.71,3093,14,54,2164,4,647,4
44.77,2993,4,12,2089,4,380,4
44.8,4734,17,14,1783,1,665,3
44.91,3434,11,53,8596,1,848,3
44.96,1912,20,56,6293,6,423,4
45.01,5577,4,11,1446,12,492,4
45.03,5185,4,18,8129,10,1156,4
45.13,6467,6,21,6888,4,817,4
45.2,4602,25,19,735,16,162,3
45.4,7152,15,57,4834,10,802,4
45.43,1356,14,53,2571,6,931,4
45.48,5938,11,14,335,4,518,4
45.53,4796,12,27,2152,4,820,4
45.54,1798,23,15,8850,2,480,3
45.59,2936,3,25,2189,8,974,4
45.62,3857,9,14,4671,10,1004,4
45.77,5903,7,11,4775,6,454,4
45.77,1696,24,59,9057,1,885,3
45.8,5172,20,42,1731,12,275,4
45.81,5318,6,2,4875,8,513,4
45.83,5037,5,52,7458,16,360,3
45.87,3514,8,36,2124,12,534,4
45.91,4629,18,59,8763,14,843,3
45.97,3562,12,52,6267,12,847,4
46.01,6330,5,7,1515,1,770,3
46.03,2195,5,35,3947,10,482,4
46.07,810,8,46,3310,4,478,4
46.17,5849,23,18,4818,16,50,3
46.19,4554,16,48,6100,8,798,4
46.27,3770,3,46,4124,12,569,4
46.4,4013,13,55,5916,10,863,4
46.42,7058,14,27,3487,12,785,4
46.45,3247,16,59,8000,6,1135,4
46.47,5866,9,31,5863,12,615,4
46.5,7561,27,8,8116,2,218,3
46.64,3490,13,50,6777,16,138,3
46.72,1859,20,42,706,8,1157,4
46.85,1238,25,57,282,1,219,3
46.93,2779,16,43,2261,8,1000,4
46.95,725,13,41,3762,14,612,3
46.97,4767,20,15,2598,4,941,4
46.99,4392,14,7,7308,8,512,4
47.22,5891,7,36,3580,14,884,3
47.26,4602,18,20,8895,14,941,3
47.29,3689,6,37,5562,10,519,4
47.32,1113,8,17,4764,10,934,4
47.36,6745,13,15,3768,8,1020,4
47.5,6827,12,38,5982,10,848,4
47.54,2871,21,37,9027,16,840,3
47.59,3104,16,17,2564,1,618,3
47.61,6955,24,37,556,14,806,3
47.67,4683,17,41,8788,14,612,3
47.75,3585,5,32,498,6,976,4
47.75,4515,11,21,5968,6,1069,4
47.8,2673,6,34,5044,1,822,3
47.8,6204,11,49,5495,12,1369,4
47.85,1975,10,6,723,4,1126,4
48.04,5116,14,34,3260,10,972,4
48.04,1068,2,31,2640,10,1227,4
48.08,4044,12,13,4560,1,1083,3
48.2,1161,28,2,2741,1,104,3
48.27,7391,4,21,4039,16,493,3
48.38,3312,18,5,4456,14,909,3
48.41,3219,27,58,2452,1,153,3
48.44,2288,6,13,4983,8,1064,4
48.56,4846,2,3,2240,6,797,4
48.69,6535,20,9,889,6,684,4
48.7,1761,20,40,288,4,852,4
48.83,5519,17,17,4993,12,1123,4
48.83,6970,2,42,7147,16,531,3
48.96,1071,14,52,236,16,258,3
48.99,3947,17,55,9361,14,272,3
49.04,2704,27,46,4982,2,927,3
49.08,8124,9,10,7582,10,1241,4
49.32,1972,9,32,528,16,689,3
49.37,4208,16,8,1594,14,1083,3
49.39,6554,24,14,1348,16,240,3
49.46,6398,23,54,6315,16,719,3
49.56,5782,9,55,5437,1,258,3
49.58,8162,16,17,3417,10,636,4
49.58,4247,26,42,9101,16,185,3
49.62,3334,16,7,3976,4,833,4
49.64,5826,15,10,7385,8,788,4
49.64,1584,4,58,6455,10,750,4
49.66,2536,9,6,4891,10,948,4
49.8,4998,10,7,1346,6,770,4
49.94,2260,18,22,5145,14,444,3
50.12,5668,16,39,5659,10,966,4
50.15,984,12,37,4983,14,613,3
50.24,4561,6,58,1741,8,836,4
50.27,6902,18,12,6005,6,486,4
50.27,5012,10,20,4762,12,486,4
50.33,6737,7,53,8149,6,1244,4
50.35,3289,23,8,3103,2,938,3
50.49,5314,16,41,7043,2,656,3
50.78,8061,23,29,1540,16,529,3
50.83,3982,3,33,7910,6,909,4
50.84,3576,14,12,4853,6,495,4
50.99,7388,13,1,5537,14,823,3
51.16,3273,28,18,8974,14,900,3
51.43,3940,7,55,4975,6,392,4
51.43,7147,10,51,7049,2,886,3
51.46,3652,11,59,1119,14,913,3
51.62,6015,12,57,795,10,945,4
51.68,1651,28,14,6429,16,908,3
51.7,6500,26,2,1345,16,602,3
51.8,2904,29,31,2884,1,881,3
51.85,7288,6,10,6557,14,235,3
51.87,5645,8,58,5960,6,1261,4
51.95,5336,16,58,7698,12,910,4
52.04,7023,9,57,5094,10,469,4
52.24,6836,5,8,4280,16,329,3
52.39,4160,12,13,3766,1,957,3
52.43,7000,17,39,5297,14,1156,3
52.44,6591,9,25,8258,8,499,4
52.62,2929,17,35,6716,4,1031,4
52.62,4796,18,47,3078,10,269,4
52.7,7641,20,17,2959,2,979,3
52.71,3240,7,38,2407,10,708,4
52.72,4210,4,25,6454,4,956,4
52.73,7601,7,7,3269,8,662,4
52.94,7045,16,40,2241,10,827,4
52.98,1207,20,11,6994,10,547,4
53.09,4556,13,46,7908,2,747,3
53.22,6556,9,53,3856,16,115,3
53.27,4288,28,17,7553,2,515,3
53.33,6563,12,3,3895,12,679,4
53.36,6871,2,47,4650,2,569,3
53.4,3333,23,32,2642,14,1087,3
53.46,2394,6,18,196,6,1478,4
53.48,3839,19,7,4944,14,811,3
53.52,6807,20,8,5404,12,977,4
53.58,3761,11,20,4973,1,780,3
53.75,2072,7,53,6553,1,1002,3
53.82,4691,7,48,2630,10,1031,4
53.86,7760,3,40,961,2,639,3
53.99,6550,9,15,5950,14,293,3
54.02,6450,18,42,1681,4,975,4
54.03,8487,18,46,5164,14,249,3
54.05,1276,2,15,2757,10,424,4
54.06,3717,4,45,5632,4,753,4
54.15,3792,7,19,2368,12,1365,4
54.19,7130,16,28,6975,4,565,4
54.27,6152,18,4,4343,1,659,3
54.3,3634,15,16,4191,6,538,4
54.31,5114,17,29,2584,8,822,4
54.39,8096,19,52,7199,10,462,4
54.43,6953,15,37,7929,6,1181,4
54.43,6937,12,45,1913,10,1055,4
54.64,3738,17,25,476,12,1289,4
54.68,4603,2,37,3210,14,207,3
54.76,2799,7,57,6996,16,1203,3
54.76,6039,3,48,8895,2,898,3
54.89,3430,16,23,1681,4,853,4
55.04,6642,4,25,6790,2,346,3
55.07,5096,22,12,6673,14,681,3
55.15,2874,11,10,3236,8,1096,4
55.22,6781,7,24,7650,12,962,4
55.27,3595,19,24,3547,1,465,3
55.35,6826,15,43,6104,10,1002,4
55.4,2422,12,30,1146,4,191,4
55.43,2564,15,22,7940,2,333,3
55.56,6136,10,51,612,10,1130,4
55.6,2441,20,54,5042,2,1062,3
55.87,4426,20,17,2240,16,333,3
55.96,3766,15,45,5814,6,1171,4
55.96,4065,5,52,2959,2,483,3
55.97,7916,16,58,2551,16,296,3
55.97,4678,13,29,7794,2,1025,3
55.98,4609,8,30,5148,12,534,4
56.15,4060,5,60,1009,10,1076,4
56.19,2672,12,39,3812,16,543,3
56.2,7400,17,18,1997,8,1171,4
56.24,3553,13,22,3411,2,655,3
56.27,2357,22,19,6102,14,466,3
56.28,3715,25,21,2519,1,1073,3
56.29,8082,15,55,3734,8,1207,4
56.56,3827,27,38,1752,2,320,3
56.82,3180,10,15,5855,12,888,4
56.86,2254,11,22,2025,8,440,4
56.97,5854,4,1,938,10,1683,4
57.02,6339,29,10,4465,2,841,3
57.03,8315,20,40,283,12,1634,4
57.04,2875,3,51,2352,10,1120,4
57.16,4833,11,40,6557,8,1114,4
57.19,6580,16,53,7286,8,1083,4
57.26,3541,14,3,3858,10,820,4
57.43,6346,10,5,5338,4,1155,4
57.43,6532,9,3,7977,1,1187,3
57.46,5531,13,15,8485,4,622,4
57.56,1918,9,59,5247,2,1104,3
57.72,6506,16,38,4331,8,1398,4
57.75,6715,9,36,5226,6,356,4
57.78,7555,8,5,2029,8,528,4
57.86,2194,9,24,7662,1,493,3
57.9,2607,2,7,8777,16,709,3
58.22,5188,15,45,6397,12,815,4
58.29,5208,9,10,8287,8,529,4
58.45,3802,2,16,4469,4,1347,4
58.53,7988,7,56,271,12,1134,4
58.8,8065,9,6,7746,12,1093,4
58.9,6595,13,7,3652,1,1004,3
58.94,6014,14,3,4164,10,479,4
59.01,4999,20,27,3108,6,1565,4
59.03,7092,12,41,3022,12,1153,4
59.17,4629,25,15,8058,14,217,3
59.28,7907,10,41,5566,10,962,4
59.34,3079,2,51,6000,1,412,3
59.37,8400,10,24,7216,8,998,4
59.45,1994,14,52,5709,1,944,3
59.59,4346,23,51,2036,1,1049,3
59.6,1954,25,41,4037,1,75,3
59.67,3203,23,31,1362,1,585,3
59.75,7107,26,53,7210,14,705,3
59.82,8259,12,44,3793,1,761,3
59.84,2149,25,11,7961,1,256,3
59.86,4913,21,23,2941,16,1061,3
59.9,5227,9,18,1323,6,1372,4
59.94,7863,23,12,2365,2,818,3
59.94,4027,7,41,6697,12,1279,4
59.97,5076,10,44,5999,6,719,4
60.27,8504,16,15,2863,14,200,3
60.44,2371,28,52,585,16,178,3
60.47,7355,23,49,8947,16,425,3
60.79,6009,8,19,4343,14,1003,3
60.92,7596,20,54,2884,1,521,4
61.05,7770,5,24,6608,2,879,4
61.06,5156,13,52,7807,6,1611,4
61.07,2870,16,58,3047,4,371,4
61.1,7319,16,54,2167,6,1485,4
61.14,2338,20,42,4486,1,571,4
61.21,3608,14,59,6264,2,1296,4
61.45,2236,22,15,4858,14,1253,3
61.56,6634,15,60,6982,4,526,4
61.58,3804,2,19,689,14,687,3
61.6,7005,15,44,1946,8,337,4
61.64,9162,15,43,1673,12,545,4
61.69,3122,5,59,3515,2,700,4
61.7,1817,4,37,5279,12,992,4
61.7,4218,9,22,6196,8,926,4
61.71,1892,27,38,8562,14,501,3
61.9,4936,16,40,2875,8,1521,4
61.92,7550,10,52,2189,10,765,4
62.06,3282,16,47,7731,2,1227,4
62.1,5295,16,43,7119,2,946,4
62.39,4049,12,16,1171,10,1201,4
62.39,2743,15,6,981,10,617,4
62.52,6050,2,24,1313,10,1308,4
62.65,8786,16,45,8177,6,964,4
62.78,7765,15,9,8330,8,1035,4
62.87,3547,11,29,4878,8,422,4
62.93,5994,11,56,7311,8,1550,4
63.08,2867,8,60,2675,6,1157,4
63.1,1791,29,44,3829,16,1055,3
63.16,3094,6,25,6536,8,511,4
63.21,8690,28,60,8940,16,442,3
63.29,2127,6,14,7952,12,1019,4
63.42,6753,9,29,195,4,948,4
63.48,8396,9,37,7763,6,1060,4
63.51,3922,8,53,1983,12,231,4
63.87,7533,19,18,2520,4,532,4
63.96,6581,4,8,8268,10,771,4
63.98,6571,19,4,6026,6,1113,4
64.12,3665,18,10,6954,1,134,4
64.24,4149,28,43,2744,16,1034,3
64.24,2251,28,9,1180,16,650,3
64.24,2033,6,59,3418,10,1172,4
64.26,6391,2,8,6620,8,376,4
64.28,4512,26,2,8894,16,287,3
64.29,1987,13,10,1214,4,1246,4
64.41,5060,17,25,2251,12,695,4
64.42,10363,12,39,2267,6,1178,4
64.51,5215,11,34,7659,16,1131,3
64.56,8793,17,41,2947,14,945,3
64.56,2752,19,14,5175,1,507,4
64.63,8595,14,20,6309,10,849,4
64.65,4181,14,20,7952,8,1115,4
64.73,3737,17,48,684,16,351,3
64.9,6498,19,21,5670,12,1522,4
64.92,3965,11,17,5114,10,764,4
65.28,5052,6,48,710,8,1625,4
65.48,8465,16,1,7263,14,149,3
65.49,2817,18,45,4922,14,738,3
65.49,9179,17,13,3648,8,1236,4
65.58,7624,10,27,2373,10,1007,4
65.61,5246,10,47,1402,8,651,4
65.73,7128,15,49,2220,10,1072,4
66.15,5128,15,19,1585,16,1225,3
66.23,9037,13,47,984,12,1094,4
66.39,5047,10,14,2697,1,1454,4
66.41,1836,19,16,4388,10,1600,4
66.56,4868,20,60,570,2,1002,4
66.83,2667,5,19,3053,8,495,4
66.84,8103,2,31,5919,8,1350,4
67.22,7868,27,35,299,14,444,3
67.25,5590,15,37,5038,2,336,4
67.28,2882,12,19,3623,10,1074,4
67.28,3950,27,22,4382,14,672,3
67.3,4364,16,18,7568,6,1173,4
67.31,4457,4,4,3943,10,889,4
67.32,8946,9,45,3891,8,1122,4
67.33,8035,12,15,1613,16,844,3
67.38,6453,4,10,7615,4,1042,4
67.45,5608,7,15,1244,8,1339,4
67.46,8321,11,1,763,12,593,4
67.53,9055,19,31,3705,1,586,4
68.14,5288,16,2,4865,8,1439,4
68.25,3247,2,50,796,6,792,4
68.26,10035,14,30,5513,4,1861,4
68.31,2630,3,3,5868,16,507,3
68.41,4891,5,50,5944,1,1111,4
68.59,7563,13,50,2250,1,1507,4
68.66,4921,12,6,1789,14,1056,3
68.76,9575,18,4,7761,2,1334,4
68.77,9556,7,8,8235,14,505,3
68.9,9376,19,22,1839,12,742,4
68.9,7340,11,4,7182,2,676,4
68.9,7370,13,15,1824,6,1582,4
68.97,4314,28,30,1021,16,1027,3
69.48,5344,15,37,9098,14,725,3
69.53,5464,7,37,3604,12,1196,4
69.71,7457,10,38,4668,6,1064,4
69.79,9654,5,4,8859,14,728,3
69.81,2449,15,15,541,16,1071,3
69.85,4440,7,59,4439,10,629,4
70.12,6080,19,17,231,2,1508,4
70.15,9598,13,16,5923,14,364,3
70.16,9445,10,51,6826,1,363,4
70.3,3562,8,10,5113,8,1155,4
70.32,9925,4,25,1575,4,1097,4
70.38,3649,6,10,570,6,1572,4
70.39,3204,17,31,5396,1,1511,4
70.44,5740,11,9,508,16,1371,3
70.56,6784,19,10,2957,8,633,4
70.62,7368,4,32,7263,16,769,3
70.92,3012,11,45,4399,6,1023,4
70.95,10012,19,2,6978,2,1233,4
70.97,3533,17,48,7868,12,907,4
71.05,7038,10,32,2697,2,1166,4
71.05,2829,16,55,6847,4,1358,4
71.06,8415,15,60,5718,4,1685,4
71.12,5885,16,25,5419,10,1796,4
71.36,8287,9,59,6298,1,1227,4
71.37,2349,3,9,169,14,756,3
71.56,9522,9,60,4890,12,935,4
71.61,3505,19,25,794,14,1167,3
71.69,11131,13,46,2677,2,1643,4
71.75,5599,4,38,2765,8,425,4
71.81,6313,9,30,824,4,1107,4
71.84,6591,3,24,4643,6,936,4
71.87,3016,15,60,2731,1,1140,4
71.91,7987,30,38,7650,16,749,3
71.98,6499,16,30,1492,2,555,4
72.08,8893,10,42,1679,4,865,4
72.09,5385,8,59,2121,1,1419,4
72.18,7572,3,54,3672,4,1443,4
72.3,6609,9,35,1065,14,1139,3
72.4,10272,3,34,2992,1,1209,4
72.48,5571,6,7,8415,10,1945,4
72.7,9359,11,33,3062,10,658,4
72.76,5918,6,25,5063,12,668,4
72.81,7113,14,7,4679,4,1117,4
72.92,9640,4,54,7151,2,1202,4
73.01,5006,9,21,3479,6,1110,4
73.01,6548,18,29,4656,2,1450,4
73.02,8892,15,15,6494,4,1750,4
73.05,2201,15,25,3426,6,1703,4
73.2,7364,11,53,6711,2,1506,4
73.26,3597,11,55,7748,12,772,4
73.4,9855,2,5,935,6,1023,4
73.64,7663,25,32,8803,16,544,3
73.68,10077,3,21,4319,12,1188,4
73.77,8929,21,53,5921,14,1482,3
74.02,5574,14,28,6056,6,1909,4
74.13,6179,20,34,3431,8,227,4
74.32,2127,13,10,6244,12,1335,4
74.46,4843,21,53,1598,16,1319,3
74.76,9175,17,18,3149,6,756,4
74.79,4311,19,40,5106,2,1972,4
74.85,5643,20,32,4651,1,906,4
74.89,4798,5,35,6252,4,676,4
75.0,9809,16,3,8125,16,499,3
75.02,2119,3,4,7846,4,990,4
75.04,4916,2,1,6094,10,563,4
75.04,2177,23,27,3142,14,1001,3
75.12,8077,4,47,6072,8,1025,4
75.21,4144,17,46,8921,16,684,3
75.23,7881,13,17,5203,10,965,4
75.25,5498,22,56,2523,14,704,3
75.27,3673,9,53,1044,12,586,4
75.3,4833,2,15,6641,4,1839,4
75.47,11145,17,24,8301,14,1345,3
75.8,9740,8,36,1567,2,1525,4
75.98,3375,6,32,8498,12,748,4
76.06,4837,14,1,459,12,598,4
76.08,9995,6,39,570,14,326,3
76.14,8640,13,2,3480,12,1746,4
76.17,11157,4,43,6175,12,676,4
76.17,8054,3,12,6290,8,1825,4
76.42,10866,4,55,3485,8,955,4
76.5,7876,12,37,4093,10,1400,4
76.54,6632,16,2,6077,4,865,4
76.78,9577,2,14,4093,1,304,4
76.81,2046,10,3,2025,12,1705,4
76.97,2416,19,42,7280,6,1815,4
77.1,2609,11,36,2653,1,1496,4
77.34,3504,8,20,4425,2,1566,4
77.38,11192,5,48,3864,10,1661,4
77.42,8796,19,12,4019,12,1582,4
77.47,8760,6,1,6281,6,976,4
77.63,10581,17,22,2580,16,732,3
77.72,8402,3,30,3413,12,1592,4
77.74,4411,14,17,154,4,1788,4
78.03,9013,18,32,2355,2,221,4
78.07,6603,6,40,2881,8,947,4
78.52,6057,11,36,8128,10,666,4
78.67,8942,18,51,5948,12,1564,4
78.75,2125,4,7,7384,12,267,4
79.02,7867,10,40,1481,12,446,4
79.16,5527,29,23,8646,14,651,3
79.21,4742,13,31,4502,4,842,4
79.32,6430,7,47,2995,12,1683,4
79.37,11496,25,50,1220,14,863,3
79.39,2784,22,46,4070,14,258,3
79.42,6665,11,13,8179,8,1271,4
79.88,5751,4,58,5734,6,605,4
79.94,9999,6,22,6109,14,1577,3
80.11,2003,19,2,3094,6,763,4
80.31,5215,13,35,2796,8,1998,4
80.44,8361,15,20,6973,6,762,4
80.57,2711,2,36,6909,2,772,4
80.62,4173,5,9,3177,12,1096,4
80.73,5076,7,60,5436,1,1822,4
80.79,4632,4,49,7334,1,648,4
80.83,7779,11,44,6974,4,1316,4
80.84,9769,14,19,6731,6,2107,4
80.94,5810,18,9,8337,12,1544,4
81.08,11680,13,11,6739,6,1814,4
81.16,6979,13,24,4525,10,1971,4
81.17,7953,4,11,8249,6,1741,4
81.26,10009,4,43,8051,1,687,4
81.29,9367,2,42,6680,1,905,4
81.43,8876,10,45,2077,12,1499,4
81.48,6786,8,8,7646,2,879,4
81.62,2011,19,46,5291,12,1648,4
81.87,8782,8,29,4969,10,537,4
82.14,12015,11,28,7744,1,1535,4
82.5,9627,16,24,5734,8,1685,4
82.53,5891,19,60,533,10,1024,4
82.54,3342,12,14,406,8,1592,4
82.64,2922,19,43,7168,2,1149,4
82.77,7765,19,43,3324,2,1778,4
82.9,9736,20,27,4611,2,2069,4
82.91,6550,26,11,326,16,940,3
82.91,5831,11,6,7624,12,1761,4
82.96,4885,12,15,4951,2,1958,4
83.16,11000,8,36,750,1,1148,4
83.64,10602,12,56,7261,8,1397,4
83.66,10162,13,47,5883,1,887,4
83.71,8290,12,16,4252,12,878,4
83.79,8287,5,31,2374,4,1410,4
83.91,10730,12,46,2971,14,893,3
84.0,6591,18,30,2614,8,1729,4
84.04,3729,8,44,3281,16,1061,3
84.39,8419,4,19,1526,10,1080,4
84.46,4594,9,44,2330,10,1545,4
84.46,12093,6,59,8064,12,1252,4
84.56,7158,18,5,5873,1,1414,4
84.63,11983,10,45,686,2,1072,4
85.09,4724,4,29,7832,10,1437,4
85.39,2520,9,11,1684,10,1581,4
85.45,10232,12,59,6124,8,281,4
85.52,8909,7,6,3913,4,1176,4
85.55,6346,6,59,1967,8,773,4
85.57,11118,20,7,3138,1,1562,4
85.78,3307,9,18,1519,1,773,4
85.81,5758,19,42,8500,1,1965,4
85.87,5176,5,5,1860,1,1275,4
85.9,10160,10,33,6859,6,747,4
85.92,8886,7,34,4146,1,694,4
86.09,4793,29,55,6141,16,913,3
86.22,4605,17,49,7751,4,1427,4
86.3,10230,3,10,3245,16,156,3
86.36,12290,23,14,1973,14,1601,3
86.37,6215,6,41,529,12,1984,4
86.45,11467,3,16,280,6,904,4
86.47,4187,20,14,3163,12,632,4
86.54,7341,20,35,3646,8,1767,4
86.54,4867,13,40,7321,1,743,4
87.16,8845,6,6,3372,1,1154,4
87.23,9660,8,53,1624,1,1710,4
